id,level,bonusColor,prestige,white,blue,green,red,black
dev-white-1-01,1,white,0,0,3,0,0,0
dev-white-1-02,1,white,1,0,0,4,0,0
dev-white-1-03,1,white,0,0,0,0,2,1
dev-white-1-04,1,white,0,0,2,0,0,2
dev-white-1-05,1,white,0,3,1,0,0,1
dev-white-1-06,1,white,0,0,2,2,0,1
dev-white-1-07,1,white,0,0,1,1,1,1
dev-white-1-08,1,white,0,0,1,2,1,1
dev-blue-1-01,1,blue,0,0,0,0,0,3
dev-blue-1-02,1,blue,1,0,0,0,4,0
dev-blue-1-03,1,blue,0,1,0,0,0,2
dev-blue-1-04,1,blue,0,0,0,2,0,2
dev-blue-1-05,1,blue,0,0,1,3,1,0
dev-blue-1-06,1,blue,0,1,0,2,2,0
dev-blue-1-07,1,blue,0,1,0,1,1,1
dev-blue-1-08,1,blue,0,1,0,1,2,1
dev-green-1-01,1,green,0,0,0,0,3,0
dev-green-1-02,1,green,1,0,0,0,0,4
dev-green-1-03,1,green,0,2,1,0,0,0
dev-green-1-04,1,green,0,0,2,0,2,0
dev-green-1-05,1,green,0,1,3,1,0,0
dev-green-1-06,1,green,0,0,1,0,2,2
dev-green-1-07,1,green,0,1,1,0,1,1
dev-green-1-08,1,green,0,1,1,0,1,2
dev-red-1-01,1,red,0,3,0,0,0,0
dev-red-1-02,1,red,1,4,0,0,0,0
dev-red-1-03,1,red,0,0,2,1,0,0
dev-red-1-04,1,red,0,2,0,0,2,0
dev-red-1-05,1,red,0,1,0,0,1,3
dev-red-1-06,1,red,0,2,0,1,0,2
dev-red-1-07,1,red,0,1,1,1,0,1
dev-red-1-08,1,red,0,2,1,1,0,1
dev-black-1-01,1,black,0,0,0,3,0,0
dev-black-1-02,1,black,1,0,4,0,0,0
dev-black-1-03,1,black,0,0,0,2,1,0
dev-black-1-04,1,black,0,2,0,2,0,0
dev-black-1-05,1,black,0,0,0,1,3,1
dev-black-1-06,1,black,0,2,2,0,1,0
dev-black-1-07,1,black,0,1,1,1,1,0
dev-black-1-08,1,black,0,1,2,1,1,0
dev-white-2-01,2,white,2,0,0,0,5,0
dev-white-2-02,2,white,3,6,0,0,0,0
dev-white-2-03,2,white,2,0,0,0,5,3
dev-white-2-04,2,white,2,0,0,1,4,2
dev-white-2-05,2,white,1,0,0,3,2,2
dev-white-2-06,2,white,1,2,3,0,3,0
dev-blue-2-01,2,blue,2,0,5,0,0,0
dev-blue-2-02,2,blue,3,0,6,0,0,0
dev-blue-2-03,2,blue,2,5,3,0,0,0
dev-blue-2-04,2,blue,2,2,0,0,1,4
dev-blue-2-05,2,blue,1,0,2,2,3,0
dev-blue-2-06,2,blue,1,0,2,3,0,3
dev-green-2-01,2,green,2,0,0,5,0,0
dev-green-2-02,2,green,3,0,0,6,0,0
dev-green-2-03,2,green,2,0,5,3,0,0
dev-green-2-04,2,green,2,4,2,0,0,1
dev-green-2-05,2,green,1,2,3,0,0,2
dev-green-2-06,2,green,1,3,0,2,3,0
dev-red-2-01,2,red,2,0,0,0,0,5
dev-red-2-02,2,red,3,0,0,0,6,0
dev-red-2-03,2,red,2,3,0,0,0,5
dev-red-2-04,2,red,2,1,4,2,0,0
dev-red-2-05,2,red,1,2,0,0,2,3
dev-red-2-06,2,red,1,0,3,0,2,3
dev-black-2-01,2,black,2,5,0,0,0,0
dev-black-2-02,2,black,3,0,0,0,0,6
dev-black-2-03,2,black,2,0,0,5,3,0
dev-black-2-04,2,black,2,0,1,4,2,0
dev-black-2-05,2,black,1,3,2,2,0,0
dev-black-2-06,2,black,1,3,0,3,0,2
dev-white-3-01,3,white,4,0,0,0,0,7
dev-white-3-02,3,white,4,3,0,0,3,6
dev-white-3-03,3,white,3,0,3,3,5,3
dev-white-3-04,3,white,5,3,0,0,0,7
dev-blue-3-01,3,blue,4,7,0,0,0,0
dev-blue-3-02,3,blue,4,6,3,0,0,3
dev-blue-3-03,3,blue,3,3,0,3,3,5
dev-blue-3-04,3,blue,5,7,3,0,0,0
dev-green-3-01,3,green,4,0,7,0,0,0
dev-green-3-02,3,green,4,3,6,3,0,0
dev-green-3-03,3,green,3,5,3,0,3,3
dev-green-3-04,3,green,5,0,7,3,0,0
dev-red-3-01,3,red,4,0,0,7,0,0
dev-red-3-02,3,red,4,0,3,6,3,0
dev-red-3-03,3,red,3,3,5,3,0,3
dev-red-3-04,3,red,5,0,0,7,3,0
dev-black-3-01,3,black,4,0,0,0,7,0
dev-black-3-02,3,black,4,0,0,3,6,3
dev-black-3-03,3,black,3,3,3,5,3,0
dev-black-3-04,3,black,5,0,0,0,7,3
